Date,Shape,Spacing_cm,Irradiance_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-02-07,Inverted-V,93,7.3,25.4,20.58,84.73,0.011,67.78,0.009,0.61,0.67
2024-02-08,Flat,62,6.55,25.85,30.01,81.74,0.01,65.39,0.008,0.53,0.67
2024-02-08,Flat,77,6.55,25.85,26.01,83.01,0.01,66.41,0.008,0.54,0.67
2024-02-08,Flat,93,6.55,25.85,23.01,83.96,0.01,67.17,0.008,0.54,0.67
2024-02-08,V-Shape,62,6.88,25.85,29.02,82.05,0.01,65.64,0.009,0.56,0.67
2024-02-08,V-Shape,77,6.88,25.85,25.02,83.32,0.01,66.66,0.009,0.57,0.67
2024-02-08,V-Shape,93,6.88,25.85,22.02,84.27,0.01,67.42,0.008,0.57,0.67
2024-02-08,Inverted-V,62,7.08,25.85,28.03,82.37,0.01,65.9,0.009,0.58,0.67
2024-02-08,Inverted-V,77,7.08,25.85,24.03,83.64,0.01,66.91,0.009,0.58,0.67
2024-02-08,Inverted-V,93,7.08,25.85,21.03,84.59,0.01,67.67,0.009,0.59,0.67
2024-02-09,Flat,62,6.35,26.24,30.4,81.62,0.009,65.29,0.008,0.52,0.67
2024-02-09,Flat,77,6.35,26.24,26.4,82.89,0.009,66.31,0.008,0.52,0.67
2024-02-09,Flat,93,6.35,26.24,23.4,83.84,0.009,67.07,0.008,0.53,0.67
2024-02-09,V-Shape,62,6.67,26.24,29.41,81.93,0.01,65.55,0.008,0.54,0.67
2024-02-09,V-Shape,77,6.67,26.24,25.41,83.2,0.01,66.56,0.008,0.55,0.67
2024-02-09,V-Shape,93,6.67,26.24,22.41,84.15,0.01,67.32,0.008,0.55,0.67
2024-02-09,Inverted-V,62,6.86,26.24,28.41,82.25,0.01,65.8,0.009,0.56,0.67
2024-02-09,Inverted-V,77,6.86,26.24,24.41,83.51,0.01,66.81,0.008,0.57,0.67
2024-02-09,Inverted-V,93,6.86,26.24,21.41,84.46,0.01,67.57,0.008,0.57,0.67
2024-02-10,Flat,62,5.76,26.7,30.84,81.48,0.009,65.18,0.007,0.47,0.67
2024-02-10,Flat,77,5.76,26.7,26.84,82.74,0.009,66.2,0.007,0.47,0.67
2024-02-10,Flat,93,5.76,26.7,23.84,83.69,0.008,66.96,0.007,0.48,0.67
2024-02-10,V-Shape,62,6.05,26.7,29.85,81.79,0.009,65.43,0.008,0.49,0.67
2024-02-10,V-Shape,77,6.05,26.7,25.85,83.06,0.009,66.45,0.007,0.5,0.67
2024-02-10,V-Shape,93,6.05,26.7,22.85,84.01,0.009,67.21,0.007,0.5,0.67
2024-02-10,Inverted-V,62,6.22,26.7,28.86,82.11,0.009,65.69,0.008,0.51,0.67
2024-02-10,Inverted-V,77,6.22,26.7,24.86,83.37,0.009,66.7,0.008,0.51,0.67
2024-02-10,Inverted-V,93,6.22,26.7,21.86,84.32,0.009,67.46,0.008,0.52,0.67
2024-02-11,Flat,62,6.12,27.0,31.15,81.38,0.009,65.1,0.008,0.5,0.67
2024-02-11,Flat,77,6.12,27.0,27.15,82.65,0.009,66.12,0.008,0.5,0.67
2024-02-11,Flat,93,6.12,27.0,24.15,83.6,0.009,66.88,0.008,0.51,0.67
2024-02-11,V-Shape,62,6.43,27.0,30.16,81.69,0.01,65.36,0.008,0.52,0.67
2024-02-11,V-Shape,77,6.43,27.0,26.16,82.96,0.009,66.37,0.008,0.53,0.67
2024-02-11,V-Shape,93,6.43,27.0,23.16,83.91,0.009,67.13,0.008,0.53,0.67
2024-02-11,Inverted-V,62,6.61,27.0,29.17,82.01,0.01,65.61,0.008,0.54,0.67
2024-02-11,Inverted-V,77,6.61,27.0,25.17,83.28,0.01,66.62,0.008,0.54,0.67
2024-02-11,Inverted-V,93,6.61,27.0,22.17,84.23,0.01,67.38,0.008,0.55,0.67
2024-02-12,Flat,62,6.55,26.1,30.26,81.66,0.01,65.33,0.008,0.53,0.67
2024-02-12,Flat,77,6.55,26.1,26.26,82.93,0.01,66.34,0.008,0.54,0.67
2024-02-12,Flat,93,6.55,26.1,23.26,83.88,0.01,67.1,0.008,0.54,0.67
2024-02-12,V-Shape,62,6.88,26.1,29.27,81.98,0.01,65.58,0.009,0.56,0.67
2024-02-12,V-Shape,77,6.88,26.1,25.27,83.24,0.01,66.59,0.009,0.57,0.67
2024-02-12,V-Shape,93,6.88,26.1,22.27,84.19,0.01,67.35,0.008,0.57,0.67
2024-02-12,Inverted-V,62,7.07,26.1,28.28,82.29,0.01,65.83,0.009,0.58,0.67
2024-02-12,Inverted-V,77,7.07,26.1,24.28,83.56,0.01,66.85,0.009,0.58,0.67
2024-02-12,Inverted-V,93,7.07,26.1,21.28,84.51,0.01,67.61,0.009,0.59,0.67
2024-02-13,Flat,62,5.9,27.04,31.19,81.37,0.009,65.1,0.007,0.48,0.67
2024-02-13,Flat,77,5.9,27.04,27.19,82.64,0.009,66.11,0.007,0.48,0.67
2024-02-13,Flat,93,5.9,27.04,24.19,83.59,0.009,66.87,0.007,0.49,0.67
2024-02-13,V-Shape,62,6.19,27.04,30.19,81.68,0.009,65.35,0.008,0.5,0.67
2024-02-13,V-Shape,77,6.19,27.04,26.19,82.95,0.009,66.36,0.008,0.51,0.67
2024-02-13,V-Shape,93,6.19,27.04,23.19,83.9,0.009,67.12,0.008,0.51,0.67
2024-02-13,Inverted-V,62,6.37,27.04,29.2,82.0,0.009,65.6,0.008,0.52,0.67
2024-02-13,Inverted-V,77,6.37,27.04,25.2,83.26,0.009,66.61,0.008,0.52,0.67
2024-02-13,Inverted-V,93,6.37,27.04,22.2,84.21,0.009,67.37,0.008,0.53,0.67
2024-02-14,Flat,62,5.57,27.42,31.56,81.25,0.008,65.0,0.007,0.45,0.67
2024-02-14,Flat,77,5.57,27.42,27.56,82.52,0.008,66.01,0.007,0.46,0.67
2024-02-14,Flat,93,5.57,27.42,24.56,83.47,0.008,66.77,0.007,0.46,0.67
2024-02-14,V-Shape,62,5.85,27.42,30.57,81.57,0.009,65.25,0.007,0.47,0.67
2024-02-14,V-Shape,77,5.85,27.42,26.57,82.83,0.009,66.27,0.007,0.48,0.67
2024-02-14,V-Shape,93,5.85,27.42,23.57,83.78,0.009,67.03,0.007,0.48,0.67
2024-02-14,Inverted-V,62,6.01,27.42,29.57,81.88,0.009,65.5,0.007,0.49,0.67
2024-02-14,Inverted-V,77,6.01,27.42,25.57,83.15,0.009,66.52,0.007,0.49,0.67
2024-02-14,Inverted-V,93,6.01,27.42,22.57,84.1,0.009,67.28,0.007,0.5,0.67
2024-02-15,Flat,62,5.98,26.91,31.06,81.41,0.009,65.13,0.007,0.48,0.67
2024-02-15,Flat,77,5.98,26.91,27.06,82.68,0.009,66.14,0.007,0.49,0.67
2024-02-15,Flat,93,5.98,26.91,24.06,83.63,0.009,66.9,0.007,0.49,0.67
2024-02-15,V-Shape,62,6.28,26.91,30.07,81.72,0.009,65.38,0.008,0.51,0.67
2024-02-15,V-Shape,77,6.28,26.91,26.07,82.99,0.009,66.39,0.008,0.52,0.67
2024-02-15,V-Shape,93,6.28,26.91,23.07,83.94,0.009,67.15,0.008,0.52,0.67
2024-02-15,Inverted-V,62,6.45,26.91,29.07,82.04,0.01,65.63,0.008,0.53,0.67
2024-02-15,Inverted-V,77,6.45,26.91,25.07,83.31,0.01,66.64,0.008,0.53,0.67
2024-02-15,Inverted-V,93,6.45,26.91,22.07,84.26,0.009,67.4,0.008,0.54,0.67
2024-02-16,Flat,62,6.38,27.61,31.77,81.18,0.009,64.95,0.008,0.52,0.67
2024-02-16,Flat,77,6.38,27.61,27.77,82.45,0.009,65.96,0.008,0.52,0.67
2024-02-16,Flat,93,6.38,27.61,24.77,83.4,0.009,66.72,0.008,0.53,0.67
2024-02-16,V-Shape,62,6.69,27.61,30.78,81.5,0.01,65.2,0.008,0.54,0.67
2024-02-16,V-Shape,77,6.69,27.61,26.78,82.77,0.01,66.21,0.008,0.55,0.67
2024-02-16,V-Shape,93,6.69,27.61,23.78,83.72,0.01,66.97,0.008,0.55,0.67
2024-02-16,Inverted-V,62,6.89,27.61,29.78,81.81,0.01,65.45,0.009,0.56,0.67
2024-02-16,Inverted-V,77,6.89,27.61,25.78,83.08,0.01,66.46,0.009,0.57,0.67
2024-02-16,Inverted-V,93,6.89,27.61,22.78,84.03,0.01,67.22,0.008,0.57,0.67
