Month,Shape,Spacing_cm,Connection,Energy_kWh,Reference_Energy_kWh,Deviation_%
January,Inverted-V,93,Se-P,12.1378,11.1062,9.288505519439601
January,Inverted-V,93,TCT,12.9876,11.1062,16.94008751868327
January,Inverted-V,93,TSSC,13.351325,11.1062,20.215060056544992
January,V-Shape,62,Se-P,11.528525,11.1062,3.8026057517422767
January,V-Shape,62,TCT,12.3166,11.1062,10.898417100358358
January,V-Shape,62,TSSC,12.104575,11.1062,8.98934829194505
January,V-Shape,77,Se-P,11.672925,11.1062,5.102780428949595
January,V-Shape,77,TCT,12.4702,11.1062,12.281428391348983
January,V-Shape,77,TSSC,12.2559,11.1062,10.351875528983822
January,V-Shape,93,Se-P,11.779325,11.1062,6.060803875312894
January,V-Shape,93,TCT,12.58545,11.1062,13.319137058579896
January,V-Shape,93,TSSC,12.368575,11.1062,11.366398948335169
June,Flat,62,Se-P,21.73575,22.0162,-1.2738347217049348
June,Flat,62,TCT,11.62855,22.0162,-47.18184791199208
June,Flat,62,TSSC,11.41125,22.0162,-48.168848393455725
June,Flat,77,Se-P,22.0162,22.0162,0.0
June,Flat,77,TCT,11.777675,22.0162,-46.504505773021684
June,Flat,77,TSSC,11.55785,22.0162,-47.502975081985085
June,Flat,93,Se-P,11.11095,22.0162,-49.532843996693344
June,Flat,93,TCT,11.8887,22.0162,-46.000218021275245
June,Flat,93,TSSC,11.6671,22.0162,-47.00674957531273
June,Inverted-V,62,Se-P,23.54855,22.0162,6.9601021066305595
June,Inverted-V,62,TCT,12.5974,22.0162,-42.78122473451368
June,Inverted-V,62,TSSC,12.9506,22.0162,-41.17695151751892
June,Inverted-V,77,Se-P,23.84925,22.0162,8.325914553828543
June,Inverted-V,77,TCT,12.75845,22.0162,-42.04971793497516
June,Inverted-V,77,TSSC,13.116225,22.0162,-40.42466456518382
June,Inverted-V,93,Se-P,24.073,22.0162,9.342211644152936
June,Inverted-V,93,TCT,12.87765,22.0162,-41.50829843478894
June,Inverted-V,93,TSSC,13.23895,22.0162,-39.86723412759695
June,Unknown,93,Se-P,11.11095,22.0162,-49.532843996693344
June,V-Shape,62,Se-P,22.84935,22.0162,3.784258863927471
June,V-Shape,62,TCT,12.223475,22.0162,-44.479633179204406
June,V-Shape,62,TSSC,12.337775,22.0162,-43.96047001753254
June,V-Shape,77,Se-P,23.1418,22.0162,5.112598904443085
June,V-Shape,77,TCT,12.380575,22.0162,-43.766067713774405
June,V-Shape,77,TSSC,12.49585,22.0162,-43.242475994949174
June,V-Shape,93,Se-P,23.36005,22.0162,6.103914390312586
June,V-Shape,93,TCT,12.49665,22.0162,-43.23884230702846
June,V-Shape,93,TSSC,12.6136,22.0162,-42.70764255411924
March,Flat,62,Se-P,13.71335,13.895075,-1.3078374891823192
March,Flat,62,TCT,14.673175,13.895075,5.599825837571947
March,Flat,62,TSSC,14.39895,13.895075,3.6262848527265876
March,Flat,77,Se-P,13.895075,13.895075,0.0
March,Flat,77,TCT,14.86715,13.895075,6.995824059963694
