Season,Shape,Spacing_cm,Connection,Energy_kWh,Reference_Energy_kWh,Deviation_%
Winter,Flat,77,TSSC,32.535825,30.9867,4.999322289885672
Winter,Flat,93,Se-P,31.27175,30.9867,0.9199108004401947
Winter,Flat,93,TCT,33.459825,30.9867,7.981246792978934
Winter,Flat,93,TSSC,32.834575,30.9867,5.963445607308949
Winter,Inverted-V,62,Se-P,33.151025,30.9867,6.984690205797965
Winter,Inverted-V,62,TCT,35.471,30.9867,14.47169269396224
Winter,Inverted-V,62,TSSC,36.4654,30.9867,17.680811444910248
Winter,Inverted-V,77,Se-P,33.562625,30.9867,8.313002029903146
Winter,Inverted-V,77,TCT,35.91175,30.9867,15.894077136319773
Winter,Inverted-V,77,TSSC,36.91915,30.9867,19.1451493705364
Winter,Inverted-V,93,Se-P,33.868925,30.9867,9.301490639532439
Winter,Inverted-V,93,TCT,36.240175,30.9867,16.95396734728126
Winter,Inverted-V,93,TSSC,37.25475,30.9867,20.228194677071137
Winter,V-Shape,62,Se-P,32.16825,30.9867,3.8130875504652044
Winter,V-Shape,62,TCT,34.36605,30.9867,10.905807975679895
Winter,V-Shape,62,TSSC,33.7766,30.9867,9.003540228549678
Winter,V-Shape,77,Se-P,32.57035,30.9867,5.110741059874071
Winter,V-Shape,77,TCT,34.7955,30.9867,12.29172515950391
Winter,V-Shape,77,TSSC,34.19795,30.9867,10.363317165106318
Winter,V-Shape,93,Se-P,32.867875,30.9867,6.070911068297041
Winter,V-Shape,93,TCT,35.11595,30.9867,13.325878522075596
Winter,V-Shape,93,TSSC,34.51135,30.9867,11.37471883098233
