Model,RMSE,MAE,MAPE(%),R2
ARIMA,39.6806398859499,32.002655501641634,125.49690079097029,-1.3365652595103659
XGBoost,16.291496952955697,14.074105471372278,209.14938118714974,0.6061331441861415
LSTM,2.6377592734430646,1.9082667653946286,9.0504293369833,0.9896748167029551
CNN-LSTM,2.667457251008265,1.9365347891780105,10.13326221433599,0.9894410097394839
