Model,Train_Loss,Val_Loss,Test_Loss,Train_Acc(R2),Val_Acc(R2),Test_Acc(R2)
LNN,0.00028542379732243717,0.00026807322865352035,0.00040649312345298147,0.9951634651139805,0.99545654066715,0.9954295165970474
N-BEATS,0.0002617602003738284,0.000245808158069849,0.00037598093144752104,0.9955665759427169,0.9958338992834362,0.9957725862804016
PatchTST,0.0002860086096916348,0.00027611295809037983,0.0004238125037336838,0.9950138658361214,0.9953202765945013,0.9952347828228325
LBPT-26,0.0002814940526150167,0.00026880070799961686,0.0004090764498355692,0.9951651520222466,0.9954442092805639,0.9954004704713572
