Model,RMSE,MAE,MAPE(%),R2,MSE
ANN,23.317256351293064,17.28990224974587,5.274699800024743,0.9950014064996571,543.6944437519168
LSTM,22.489512763206505,15.851166576970005,4.362201157235336,0.995349999298608,505.7781843264283
BiLSTM,22.388016208187054,16.335774802417898,5.128020937350576,0.9953918760672926,501.2232697380462
GRU,21.239477937584336,15.181350358105881,6.110267096639102,0.9958525553322617,451.1154230611317
CNN-LSTM,21.910768086050382,15.914613846797502,7.523349491906083,0.995586245945029,480.08175812068396
