Model,RMSE,MAE,MAPE(%),R2,MSE
LNN,22.96937089291331,16.938219323311763,5.083578748678033,0.9951494484293122,527.5919992162133
N-BEATS,21.525401497720672,15.356918462942845,5.577881608661398,0.9957401388166408,463.34290963807535
PatchTST,22.25374451009663,16.62671403835556,6.229281527599871,0.9954469845840275,495.2291447206559
LBPT-26,21.987677001805935,15.640696888604754,5.232367598987697,0.9955552061566503,483.45793993574557
