Model,Train_Acc(R2),Test_Acc(R2),RMSE,MAE,MSE,Precision*
DTRH (Proposed),0.99596579,0.99614551,0.01851521,0.01336918,0.0003428131,0.88943045
N-BEATS,0.99562397,0.99585305,0.01920481,0.01415006,0.0003688249,0.89585856
BiLSTM,0.99545232,0.99580129,0.01932429,0.01399641,0.000373428,0.87909704
GRU,0.99547471,0.99578292,0.01936651,0.01403708,0.0003750617,0.92371034
LSTM,0.99541132,0.99576814,0.01940042,0.01411539,0.0003763761,0.93321628
CNN-LSTM,0.99528077,0.99576634,0.01940454,0.01449076,0.0003765361,0.88809841
ANN,0.99544898,0.9957341,0.01947829,0.01404851,0.0003794036,0.91837208
