Model,Train_Acc(R2),Test_Acc(R2),RMSE,MAE,MSE,Precision*
GRU,0.99919662,0.99947464,0.00706473,0.00478214,4.99104e-05,0.87288598
LSTM-GRU,0.99919764,0.99943365,0.00733515,0.00475271,5.38044e-05,0.88461538
Gated-Residual-RNN,0.99904818,0.99940733,0.00750366,0.00567077,5.63049e-05,0.84779051
BiLSTM,0.99909697,0.99940205,0.00753704,0.00550571,5.6807e-05,0.84724495
BiLSTM-GRU,0.9988877,0.99935688,0.00781652,0.00558841,6.10979e-05,0.85215494
CNN-LSTM,0.99906613,0.99926258,0.00837,0.0061341,7.00569e-05,0.84342608
LSTM,0.99904319,0.99924486,0.00846992,0.00633061,7.17396e-05,0.85460993
