Week,Shape,Spacing_cm,Irr_kWh_m2
24,Flat,62,38.3754675
24,Flat,77,38.3754675
24,Flat,93,38.3754675
24,Inverted-V,62,41.445515
24,Inverted-V,77,41.445515
24,Inverted-V,93,41.445515
24,V-Shape,62,40.294255
24,V-Shape,77,40.294255
24,V-Shape,93,40.294255
25,Flat,62,31.07144
25,Flat,77,31.07144
25,Flat,93,31.07144
25,Inverted-V,62,33.5571625
25,Inverted-V,77,33.5571625
25,Inverted-V,93,33.5571625
25,V-Shape,62,32.625
25,V-Shape,77,32.625
25,V-Shape,93,32.625
26,Flat,62,26.936395
26,Flat,77,26.936395
26,Flat,93,26.936395
26,Inverted-V,62,29.09132
26,Inverted-V,77,29.09132
26,Inverted-V,93,29.09132
26,V-Shape,62,28.28323
26,V-Shape,77,28.28323
26,V-Shape,93,28.28323
27,Flat,62,33.037405
27,Flat,77,33.037405
27,Flat,93,33.037405
27,Inverted-V,62,35.6804025
27,Inverted-V,77,35.6804025
27,Inverted-V,93,35.6804025
27,V-Shape,62,34.6893125
27,V-Shape,77,34.6893125
27,V-Shape,93,34.6893125
28,Flat,62,30.306095
28,Flat,77,30.306095
28,Flat,93,30.306095
28,Inverted-V,62,32.7305975
28,Inverted-V,77,32.7305975
28,Inverted-V,93,32.7305975
28,V-Shape,62,31.82141
28,V-Shape,77,31.82141
28,V-Shape,93,31.82141
29,Flat,62,24.17775
29,Flat,77,24.17775
29,Flat,93,24.17775
29,Inverted-V,62,26.112
29,Inverted-V,77,26.112
29,Inverted-V,93,26.112
29,V-Shape,62,25.38663
29,V-Shape,77,25.38663
29,V-Shape,93,25.38663
30,Flat,62,30.30082
30,Flat,77,30.30082
30,Flat,93,30.30082
30,Inverted-V,62,32.724905
30,Inverted-V,77,32.724905
30,Inverted-V,93,32.724905
30,V-Shape,62,31.8158925
30,V-Shape,77,31.8158925
30,V-Shape,93,31.8158925
31,Flat,62,31.1443975
31,Flat,77,31.1443975
31,Flat,93,31.1443975
31,Inverted-V,62,33.6359675
31,Inverted-V,77,33.6359675
31,Inverted-V,93,33.6359675
31,V-Shape,62,32.7016475
31,V-Shape,77,32.7016475
31,V-Shape,93,32.7016475
32,Flat,62,33.234755
32,Flat,77,33.234755
32,Flat,93,33.234755
32,Inverted-V,62,35.893565
32,Inverted-V,77,35.893565
32,Inverted-V,93,35.893565
32,V-Shape,62,34.8965275
32,V-Shape,77,34.8965275
32,V-Shape,93,34.8965275
33,Flat,62,33.2476625
33,Flat,77,33.2476625
33,Flat,93,33.2476625
33,Inverted-V,62,35.9074875
33,Inverted-V,77,35.9074875
33,Inverted-V,93,35.9074875
33,V-Shape,62,34.9100525
33,V-Shape,77,34.9100525
33,V-Shape,93,34.9100525
34,Flat,62,34.55312
34,Flat,77,34.55312
34,Flat,93,34.55312
34,Inverted-V,62,37.31739
34,Inverted-V,77,37.31739
34,Inverted-V,93,37.31739
34,V-Shape,62,36.2807975
34,V-Shape,77,36.2807975
34,V-Shape,93,36.2807975
35,Flat,62,31.306635
35,Flat,77,31.306635
35,Flat,93,31.306635
35,Inverted-V,62,33.8111575
35,Inverted-V,77,33.8111575
35,Inverted-V,93,33.8111575
35,V-Shape,62,32.871965
35,V-Shape,77,32.871965
35,V-Shape,93,32.871965
36,Flat,62,35.3052925
36,Flat,77,35.3052925
36,Flat,93,35.3052925
36,Inverted-V,62,38.1297
36,Inverted-V,77,38.1297
36,Inverted-V,93,38.1297
36,V-Shape,62,37.070565
