Time,Hour,Month,GHI,POA,POA_shade,Shade%,Voc,Isc,Vm,Im,Pm,FF,Tmod
2025-01-01 00:00:00,0,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 01:00:00,1,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 02:00:00,2,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 03:00:00,3,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 04:00:00,4,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 05:00:00,5,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 06:00:00,6,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 07:00:00,7,1,255.8,190.5,158.7,83.3%,37.866,1.692,29.535,1.7,50.21,0.784,29.762
2025-01-01 08:00:00,8,1,459.2,416.2,346.8,83.3%,37.192,3.763,29.01,3.715,107.781,0.77,35.404
2025-01-01 09:00:00,9,1,690.0,678.4,565.3,83.3%,36.398,6.258,28.391,6.054,171.878,0.755,41.96
2025-01-01 10:00:00,10,1,795.6,795.6,663.0,83.3%,36.042,7.405,28.113,7.097,199.505,0.748,44.89
2025-01-01 11:00:00,11,1,887.3,879.5,732.9,83.3%,35.787,8.237,27.914,7.841,218.884,0.743,46.987
2025-01-01 12:00:00,12,1,958.7,944.2,786.8,83.3%,35.59,8.885,27.76,8.415,233.6,0.739,48.604
2025-01-01 13:00:00,13,1,808.0,800.9,667.4,83.3%,36.026,7.457,28.1,7.144,200.739,0.747,45.022
2025-01-01 14:00:00,14,1,733.7,733.7,611.4,83.3%,36.23,6.796,28.26,6.546,184.982,0.751,43.341
2025-01-01 15:00:00,15,1,645.7,634.9,529.0,83.3%,36.53,5.837,28.494,5.666,161.448,0.757,40.871
2025-01-01 16:00:00,16,1,443.8,402.2,335.2,83.3%,37.234,3.633,29.042,3.591,104.283,0.771,35.055
2025-01-01 17:00:00,17,1,249.2,185.5,154.6,83.3%,37.88,1.647,29.547,1.656,48.923,0.784,29.638
2025-01-01 18:00:00,18,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 19:00:00,19,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 20:00:00,20,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 21:00:00,21,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 22:00:00,22,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 23:00:00,23,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 00:00:00,0,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 01:00:00,1,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 02:00:00,2,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 03:00:00,3,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 04:00:00,4,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 05:00:00,5,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 06:00:00,6,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 07:00:00,7,1,271.8,202.3,168.6,83.3%,37.831,1.799,29.508,1.806,53.287,0.783,30.058
2025-01-02 08:00:00,8,1,472.1,427.9,356.6,83.3%,37.156,3.872,28.982,3.82,110.71,0.769,35.697
