Model,RMSE,MAE,MAPE(%),R2
ARIMA,501.6884272391294,401.0395921378853,126.64094069116449,-1.3139533582601381
XGBoost,22.01955718824265,15.622320698726128,4.039624010583307,0.9955423076969139
LSTM,21.43216794975013,15.434787026149381,4.371072836957614,0.9957769606016269
CNN-LSTM,21.894394036848652,16.457210414224285,8.85733104563317,0.9955928403301724
