Model,Train_Acc(R2),Test_Acc(R2),RMSE,MAE,MSE,Precision*
LSTM-GRU,0.99604758,0.99619609,0.01839333,0.0134215,0.0003383147,0.92569831
Gated-Residual-RNN,0.99612066,0.9961819,0.01842762,0.01312525,0.0003395771,0.89037903
BiLSTM,0.99589755,0.9961207,0.01857472,0.01370988,0.0003450202,0.93324655
BiLSTM-GRU,0.99594048,0.99610336,0.01861619,0.0137865,0.0003465627,0.85506983
LSTM,0.99578736,0.99604458,0.01875606,0.01289449,0.0003517899,0.9355978
CNN-LSTM,0.9954713,0.99566194,0.01964233,0.01354801,0.0003858213,0.89527327
GRU,0.99506427,0.99527605,0.02049738,0.01529677,0.0004201426,0.83201138
