Date,Time,Shape,PanelSpacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:15,Inverted-V,93,18.4,25.6,21.0,84.59,0.03,67.67,0.02,1.5,0.67
2025-04-01,05:30,Inverted-V,93,36.8,25.8,21.7,84.37,0.05,67.49,0.05,3.1,0.67
2025-04-01,05:45,Inverted-V,93,55.3,26.0,22.4,84.15,0.08,67.32,0.07,4.6,0.67
2025-04-01,06:00,Inverted-V,93,73.7,26.3,23.1,83.93,0.11,67.14,0.09,6.1,0.67
2025-04-01,06:15,Inverted-V,93,118.4,26.8,24.8,83.39,0.17,66.71,0.15,9.8,0.67
2025-04-01,06:30,Inverted-V,93,163.1,27.4,26.5,82.86,0.24,66.29,0.2,13.4,0.67
2025-04-01,06:45,Inverted-V,93,207.7,28.0,28.2,82.32,0.31,65.86,0.26,17.0,0.67
2025-04-01,07:00,Inverted-V,93,252.4,28.6,29.9,81.79,0.37,65.43,0.31,20.5,0.67
2025-04-01,07:15,Inverted-V,93,306.7,29.1,31.7,81.19,0.46,64.95,0.38,24.8,0.67
2025-04-01,07:30,Inverted-V,93,361.0,29.6,33.6,80.59,0.54,64.47,0.45,29.0,0.67
2025-04-01,07:45,Inverted-V,93,415.3,30.1,35.5,80.0,0.62,64.0,0.52,33.2,0.67
2025-04-01,08:00,Inverted-V,93,469.6,30.7,37.4,79.4,0.7,63.52,0.59,37.3,0.67
2025-04-01,08:15,Inverted-V,93,519.9,31.1,39.1,78.86,0.78,63.09,0.65,41.1,0.67
2025-04-01,08:30,Inverted-V,93,570.2,31.6,40.8,78.32,0.85,62.65,0.72,44.9,0.67
2025-04-01,08:45,Inverted-V,93,620.5,32.0,42.5,77.78,0.93,62.22,0.78,48.6,0.67
2025-04-01,09:00,Inverted-V,93,670.8,32.5,44.2,77.24,1.01,61.79,0.85,52.2,0.67
2025-04-01,09:15,Inverted-V,93,687.5,32.9,45.1,76.98,1.04,61.58,0.87,53.4,0.67
2025-04-01,09:30,Inverted-V,93,704.3,33.3,45.9,76.72,1.06,61.38,0.89,54.5,0.67
2025-04-01,09:45,Inverted-V,93,721.0,33.7,46.7,76.46,1.09,61.17,0.91,55.7,0.67
2025-04-01,10:00,Inverted-V,93,737.7,34.1,47.5,76.2,1.11,60.96,0.93,56.8,0.67
2025-04-01,10:15,Inverted-V,93,769.1,34.4,48.6,75.85,1.16,60.68,0.97,59.1,0.67
2025-04-01,10:30,Inverted-V,93,800.5,34.7,49.7,75.5,1.21,60.4,1.01,61.2,0.67
2025-04-01,10:45,Inverted-V,93,831.9,35.0,50.8,75.15,1.26,60.12,1.05,63.4,0.67
2025-04-01,11:00,Inverted-V,93,863.3,35.4,52.0,74.79,1.31,59.83,1.1,65.6,0.67
2025-04-01,11:15,Inverted-V,93,847.6,35.6,51.8,74.85,1.28,59.88,1.08,64.4,0.67
2025-04-01,11:30,Inverted-V,93,831.9,35.8,51.6,74.91,1.26,59.93,1.06,63.3,0.67
2025-04-01,11:45,Inverted-V,93,816.1,36.0,51.4,74.97,1.24,59.98,1.04,62.1,0.67
2025-04-01,12:00,Inverted-V,93,800.4,36.2,51.2,75.03,1.21,60.03,1.02,60.9,0.67
2025-04-01,12:15,Inverted-V,93,793.1,36.2,51.1,75.07,1.2,60.06,1.01,60.4,0.67
2025-04-01,12:30,Inverted-V,93,785.9,36.3,51.0,75.11,1.19,60.09,1.0,59.9,0.67
2025-04-01,12:45,Inverted-V,93,778.6,36.4,50.8,75.15,1.18,60.12,0.99,59.4,0.67
2025-04-01,13:00,Inverted-V,93,771.4,36.4,50.7,75.19,1.17,60.15,0.98,58.8,0.67
2025-04-01,13:15,Inverted-V,93,720.0,36.4,49.4,75.61,1.09,60.49,0.91,55.2,0.67
2025-04-01,13:30,Inverted-V,93,668.7,36.3,48.0,76.04,1.01,60.83,0.85,51.4,0.67
2025-04-01,13:45,Inverted-V,93,617.3,36.2,46.7,76.47,0.93,61.18,0.78,47.7,0.67
2025-04-01,14:00,Inverted-V,93,566.0,36.1,45.3,76.9,0.85,61.52,0.71,43.9,0.67
2025-04-01,14:15,Inverted-V,93,539.7,35.9,44.4,77.2,0.81,61.76,0.68,42.0,0.67
2025-04-01,14:30,Inverted-V,93,513.4,35.6,43.4,77.49,0.77,62.0,0.65,40.1,0.67
2025-04-01,14:45,Inverted-V,93,487.1,35.3,42.5,77.79,0.73,62.23,0.61,38.1,0.67
2025-04-01,15:00,Inverted-V,93,460.8,35.0,41.5,78.09,0.69,62.47,0.58,36.2,0.67
2025-04-01,15:15,Inverted-V,93,403.6,34.6,39.7,78.67,0.6,62.94,0.51,31.9,0.67
2025-04-01,15:30,Inverted-V,93,346.5,34.2,37.8,79.26,0.52,63.41,0.43,27.5,0.67
2025-04-01,15:45,Inverted-V,93,289.4,33.8,36.0,79.85,0.43,63.88,0.36,23.1,0.67
2025-04-01,16:00,Inverted-V,93,232.2,33.3,34.1,80.44,0.35,64.35,0.29,18.6,0.67
2025-04-01,16:15,Inverted-V,93,185.4,32.8,32.4,80.97,0.28,64.78,0.23,15.0,0.67
2025-04-01,16:30,Inverted-V,93,138.6,32.3,30.8,81.51,0.21,65.2,0.17,11.2,0.67
2025-04-01,16:45,Inverted-V,93,91.8,31.8,29.1,82.04,0.14,65.63,0.11,7.5,0.67
