Model,R2,RMSE,MAE,Precision*
BiLSTM,0.99933172,0.0079679,0.00580619,0.84124386
GRU,0.99915911,0.0089379,0.00647766,0.82624113
LSTM,0.99912205,0.00913273,0.00677385,0.82842335
LSTM-GRU,0.99912197,0.00913318,0.00617594,0.84151664
BiLSTM-GRU,0.99905713,0.00946436,0.00708766,0.8207856
CNN-LSTM,0.99894442,0.0100141,0.00772654,0.83333333
Gated-Residual-RNN,0.99730299,0.0160069,0.01261493,0.80060011
