Model,R2,RMSE,MAE,Precision*
BiLSTM,0.99929301,0.00819547,0.00601777,0.83087834
LSTM-GRU,0.99921876,0.0086151,0.00598035,0.85460993
GRU,0.99914009,0.00903844,0.00630045,0.81833061
LSTM,0.99908437,0.00932667,0.00676125,0.81969449
CNN-LSTM,0.99902327,0.00963286,0.00735852,0.83087834
BiLSTM-GRU,0.99886487,0.01038461,0.00755005,0.82651391
Gated-Residual-RNN,0.99762,0.01503679,0.01160646,0.80469176
