Model,Train_Acc(R2),Test_Acc(R2),RMSE,MAE,MSE,Precision*
Gated-Residual-RNN,0.99936102,0.99962732,0.00595028,0.00353545,3.54058e-05,0.86579378
LSTM-GRU,0.99929647,0.99958571,0.00627363,0.00414435,3.93585e-05,0.88597927
BiLSTM-GRU,0.99905491,0.99946694,0.0071163,0.00483675,5.06417e-05,0.83660666
BiLSTM,0.99903168,0.99936343,0.00777661,0.00593278,6.04757e-05,0.86142935
CNN-LSTM,0.99868077,0.99924727,0.00845642,0.00642018,7.1511e-05,0.84806328
LSTM,0.99898083,0.99921092,0.00865819,0.00678011,7.49643e-05,0.81669394
GRU,0.99846393,0.9991418,0.00902944,0.00759998,8.15308e-05,0.85570104
