Model,R2,RMSE,MAE,Precision*
GRU,0.99937285,0.00771886,0.00543501,0.84288052
BiLSTM,0.99919764,0.00873074,0.00650503,0.84806328
LSTM-GRU,0.99911444,0.00917224,0.00631394,0.82951446
BiLSTM-GRU,0.99906136,0.00944317,0.006859,0.83878887
LSTM,0.99890258,0.01021065,0.00774814,0.81451173
CNN-LSTM,0.99880441,0.01065759,0.00803055,0.82214948
Gated-Residual-RNN,0.99752465,0.01533506,0.01227862,0.79759956
