Model,R2,RMSE,MAE,Precision*
LSTM-GRU,0.99921606,0.00862996,0.00630848,0.84997272
GRU,0.99915555,0.00895682,0.00651644,0.84015276
BiLSTM-GRU,0.99908703,0.00931311,0.00697935,0.83551555
BiLSTM,0.99882246,0.0105768,0.00830547,0.8136934
LSTM,0.99880003,0.01067708,0.00839749,0.79978178
CNN-LSTM,0.99873743,0.01095205,0.00862122,0.81833061
Gated-Residual-RNN,0.99810752,0.01340856,0.01022318,0.79978178
