Model,Train_Acc(R2),Test_Acc(R2),RMSE,MAE,MSE,Precision*
BiLSTM,0.99605138,0.99624881,0.01826544,0.01292523,0.0003336261,0.91529426
LSTM-GRU,0.99610311,0.99624785,0.01826777,0.01297444,0.0003337114,0.94405425
Gated-Residual-RNN,0.99610259,0.99624244,0.01828095,0.01338165,0.0003341931,0.91718132
BiLSTM-GRU,0.99607385,0.99621978,0.01833598,0.01309523,0.0003362081,0.9096129
GRU,0.99600984,0.99615103,0.01850197,0.01309052,0.0003423229,0.89414305
LSTM,0.99558201,0.99584756,0.01921752,0.01414529,0.0003693131,0.88406192
CNN-LSTM,0.99569658,0.99583233,0.01925273,0.01324211,0.0003706677,0.93206588
