Model,R2,RMSE,MAE,Precision*
LSTM-GRU,0.99944853,0.00723816,0.00511882,0.85324604
BiLSTM-GRU,0.99927362,0.00830708,0.0058223,0.82733224
BiLSTM,0.99921014,0.00866249,0.0063826,0.84697218
GRU,0.99920836,0.00867224,0.00602373,0.83169667
CNN-LSTM,0.99894123,0.01002924,0.00763076,0.82296781
LSTM,0.99886284,0.01039389,0.00811222,0.80851064
Gated-Residual-RNN,0.99731714,0.01596488,0.01276577,0.79732679
