Model,R2,RMSE,MAE,Precision*
LSTM-GRU,0.99946209,0.00714864,0.00484195,0.8726132
GRU,0.99918256,0.00881243,0.00628073,0.85651937
LSTM,0.99911572,0.00916563,0.00683873,0.82269504
BiLSTM-GRU,0.99906102,0.00944486,0.00699432,0.8218767
CNN-LSTM,0.99870238,0.01110302,0.00833288,0.82051282
BiLSTM,0.99859407,0.01155712,0.00901744,0.81751227
Gated-Residual-RNN,0.99762272,0.01502822,0.01251708,0.75668303
