Model,Train_Acc(R2),Test_Acc(R2),RMSE,MAE,MSE,Precision*
BiLSTM-GRU,0.99913316,0.99947979,0.00703004,0.00494801,4.94215e-05,0.84397163
GRU,0.99900031,0.99943341,0.00733673,0.00534898,5.38277e-05,0.86633933
LSTM,0.99907988,0.99940733,0.00750368,0.00554856,5.63053e-05,0.83469722
LSTM-GRU,0.99929677,0.99939251,0.00759692,0.00454377,5.77132e-05,0.88270595
Gated-Residual-RNN,0.99904377,0.99927257,0.00831309,0.0061417,6.91075e-05,0.88079651
CNN-LSTM,0.99896761,0.99916625,0.00889987,0.00677064,7.92077e-05,0.83878887
BiLSTM,0.9990799,0.99914853,0.00899399,0.0067045,8.08919e-05,0.8573377
