Model,Train_Acc(R2),Test_Acc(R2),RMSE,MAE,MSE,Precision*
GRU,0.99929529,0.9995685,0.00640265,0.00405992,4.09939e-05,0.86142935
LSTM-GRU,0.99928367,0.99951876,0.00676158,0.00474077,4.5719e-05,0.8867976
BiLSTM-GRU,0.99913893,0.99938319,0.00765496,0.00523817,5.85984e-05,0.86770322
LSTM,0.99900468,0.99927212,0.00831567,0.00635696,6.91503e-05,0.81914894
CNN-LSTM,0.99905954,0.99911742,0.00915682,0.00657307,8.38473e-05,0.83278778
BiLSTM,0.99873356,0.99899115,0.00978996,0.00733807,9.58434e-05,0.87861429
Gated-Residual-RNN,0.99817139,0.998438,0.0121817,0.00988502,0.0001483939,0.87561375
