Model,R2,RMSE,MAE,Precision*
BiLSTM-GRU,0.99936206,0.00778495,0.00543902,0.8502455
GRU,0.99922323,0.00859042,0.00611046,0.85160938
LSTM-GRU,0.99914731,0.0090004,0.00649535,0.84697218
LSTM,0.99912943,0.00909428,0.00670994,0.82951446
BiLSTM,0.99886942,0.01036376,0.00800193,0.80823786
CNN-LSTM,0.9986525,0.0113144,0.00868872,0.80878342
Gated-Residual-RNN,0.99789443,0.01414335,0.01164862,0.7877796
