Model,R2,RMSE,MAE,Precision*
LSTM-GRU,0.99940065,0.00754583,0.00543367,0.86633933
BiLSTM,0.99925633,0.00840536,0.00612395,0.83060556
GRU,0.99917898,0.00883169,0.00642244,0.83878887
LSTM,0.99912933,0.00909477,0.0068216,0.82924168
BiLSTM-GRU,0.99901339,0.00968139,0.00729102,0.82733224
CNN-LSTM,0.99893991,0.01003546,0.00756126,0.82924168
Gated-Residual-RNN,0.99752878,0.01532223,0.01233762,0.7806874
