Model,R2,RMSE,MAE,Precision*
LSTM-GRU,0.99945185,0.00721632,0.00492492,0.87670486
GRU,0.99938748,0.00762829,0.00517494,0.87424986
LSTM,0.99913844,0.00904709,0.00670023,0.83006001
BiLSTM-GRU,0.99905982,0.00945089,0.00703994,0.83442444
BiLSTM,0.9990543,0.00947857,0.00700761,0.83006001
CNN-LSTM,0.99897969,0.00984537,0.0071622,0.82105837
Gated-Residual-RNN,0.99757422,0.01518068,0.01229052,0.79159847
