Model,R2,RMSE,MAE,Precision*
BiLSTM,0.9992079,0.00867473,0.00635598,0.83551555
GRU,0.99918938,0.00877556,0.00626447,0.8431533
LSTM-GRU,0.99917551,0.00885032,0.00636123,0.85515548
BiLSTM-GRU,0.99914908,0.00899108,0.00664705,0.83633388
LSTM,0.99913925,0.00904287,0.00669268,0.82296781
CNN-LSTM,0.99901078,0.00969422,0.00694487,0.83660666
Gated-Residual-RNN,0.9977167,0.01472817,0.01196213,0.7959629
