Model,R2,RMSE,MAE,Precision*
BiLSTM-GRU,0.9992906,0.00820944,0.00570924,0.82842335
LSTM-GRU,0.99923288,0.00853687,0.00608861,0.85624659
LSTM,0.99914885,0.00899227,0.0066179,0.82378614
BiLSTM,0.99914339,0.00902109,0.00661346,0.83769776
GRU,0.99909201,0.00928771,0.00661997,0.81887616
CNN-LSTM,0.99887691,0.01032939,0.00779517,0.8218767
Gated-Residual-RNN,0.99759697,0.01510939,0.0124981,0.78150573
