Model,R2,RMSE,MAE,Precision*
LSTM-GRU,0.99944651,0.00725139,0.00503132,0.85515548
GRU,0.99939458,0.00758394,0.00505804,0.85897436
BiLSTM-GRU,0.99927295,0.00831094,0.00605258,0.83306056
BiLSTM,0.99917975,0.00882756,0.00654741,0.83387889
LSTM,0.99915987,0.00893386,0.00662294,0.82951446
CNN-LSTM,0.99894775,0.00999829,0.00711926,0.83496999
Gated-Residual-RNN,0.99786507,0.0142416,0.01129702,0.80032733
