Model,Train_Acc(R2),Test_Acc(R2),RMSE,MAE,MSE,Precision*
LSTM-GRU,0.99938302,0.99955933,0.00647027,0.00400239,4.18644e-05,0.8608838
Gated-Residual-RNN,0.99926067,0.99955736,0.00648475,0.00454044,4.2052e-05,0.8690671
GRU,0.99925462,0.99949373,0.0069352,0.0049406,4.80971e-05,0.86852155
BiLSTM-GRU,0.99914774,0.99948631,0.00698578,0.00514544,4.88011e-05,0.84888161
BiLSTM,0.9988029,0.99934363,0.00789659,0.00599589,6.23562e-05,0.84560829
CNN-LSTM,0.99896618,0.99915887,0.00893919,0.00660407,7.9909e-05,0.832515
LSTM,0.99869875,0.99895164,0.0099798,0.00776132,9.95964e-05,0.84588107
