Model,Train_Acc(R2),Test_Acc(R2),RMSE,MAE,MSE,Precision*
Gated-Residual-RNN,0.99924942,0.99954346,0.00658577,0.00445996,4.33723e-05,0.87097654
GRU,0.99925053,0.99954277,0.00659075,0.00470388,4.3438e-05,0.85488271
LSTM-GRU,0.99911494,0.99943001,0.00735868,0.00533759,5.41502e-05,0.86852155
BiLSTM-GRU,0.9990892,0.99935723,0.00781436,0.00561024,6.10642e-05,0.84506274
LSTM,0.99897755,0.99932595,0.00800226,0.00618983,6.40361e-05,0.8537916
BiLSTM,0.99898712,0.99920707,0.00867928,0.0064184,7.53299e-05,0.85651937
CNN-LSTM,0.99846955,0.99890397,0.0102042,0.00802641,0.0001041256,0.83933442
