Model,R2,RMSE,MAE,Precision*
GRU,0.9991965,0.00873694,0.00617474,0.84015276
BiLSTM,0.99917506,0.00885273,0.0065615,0.8396072
LSTM,0.99914876,0.00899276,0.00665851,0.82405892
LSTM-GRU,0.99912764,0.00910364,0.00629105,0.84397163
BiLSTM-GRU,0.99907096,0.00939471,0.0069101,0.82460447
CNN-LSTM,0.99902057,0.00964614,0.00696837,0.83878887
Gated-Residual-RNN,0.99729061,0.0160436,0.01288038,0.79787234
