Model,R2,RMSE,MAE,Precision*
LSTM-GRU,0.99953064,0.00667763,0.00425115,0.87152209
GRU,0.99918223,0.0088142,0.00623476,0.8396072
BiLSTM-GRU,0.99916312,0.00891657,0.006443,0.83469722
LSTM,0.99914329,0.00902163,0.00665597,0.82678669
BiLSTM,0.99906352,0.00943228,0.00698106,0.83033279
CNN-LSTM,0.99879929,0.01068035,0.00824251,0.82624113
Gated-Residual-RNN,0.99763522,0.01498864,0.01219555,0.79569013
