Model,R2,RMSE,MAE,Precision*
GRU,0.9994066,0.00750825,0.0048905,0.85488271
LSTM,0.99914049,0.00903632,0.00674164,0.82705947
BiLSTM,0.99910503,0.00922083,0.00683964,0.83224223
CNN-LSTM,0.99904901,0.00950506,0.00711874,0.83578833
BiLSTM-GRU,0.99901358,0.0096805,0.00734638,0.82842335
LSTM-GRU,0.99899555,0.00976856,0.00700127,0.83878887
Gated-Residual-RNN,0.99728273,0.01606691,0.01280119,0.7959629
