Model,Train_Acc(R2),Test_Acc(R2),RMSE,MAE,MSE,Precision*
BiLSTM-GRU,0.99920809,0.99954392,0.00658247,0.00454039,4.33289e-05,0.86470267
BiLSTM,0.9991559,0.99950742,0.00684076,0.00487079,4.6796e-05,0.84151664
Gated-Residual-RNN,0.99915362,0.99946511,0.00712852,0.00539467,5.08157e-05,0.84969995
GRU,0.99906362,0.99939967,0.00755203,0.00561446,5.70331e-05,0.87043099
CNN-LSTM,0.99889066,0.99895616,0.00995826,0.00710612,9.91669e-05,0.85242771
LSTM,0.99777144,0.99816528,0.01320236,0.011114,0.0001743024,0.85597381
LSTM-GRU,0.99751129,0.99808132,0.01350107,0.01161526,0.000182279,0.87206765
