Model,R2,RMSE,MAE,Precision*
GRU,0.99933008,0.00797773,0.00546233,0.85433715
BiLSTM,0.99921836,0.0086173,0.00632004,0.85460993
LSTM,0.99911684,0.00915981,0.00683814,0.82351337
LSTM-GRU,0.99911457,0.0091716,0.0060943,0.83797054
BiLSTM-GRU,0.99908858,0.00930519,0.00686583,0.83224223
CNN-LSTM,0.99876628,0.01082617,0.00786419,0.81996727
Gated-Residual-RNN,0.99765918,0.01491253,0.01197722,0.7806874
