Model,R2,RMSE,MAE,Precision*
LSTM-GRU,0.99928749,0.00822741,0.00581387,0.84779051
GRU,0.99920523,0.00868938,0.0063259,0.84942717
BiLSTM,0.99918868,0.00877939,0.00645533,0.84178942
BiLSTM-GRU,0.9990565,0.00946759,0.00706767,0.82760502
CNN-LSTM,0.99890127,0.01021673,0.00764001,0.81778505
LSTM,0.99875017,0.01089662,0.00855547,0.83006001
Gated-Residual-RNN,0.99753862,0.01529173,0.01209717,0.799509
