Model,R2,RMSE,MAE,Precision*
LSTM-GRU,0.99944214,0.00728,0.00488086,0.85188216
GRU,0.99932969,0.00798004,0.00543887,0.85597381
LSTM,0.99923357,0.00853301,0.00622106,0.83469722
BiLSTM-GRU,0.99910666,0.00921244,0.0067162,0.8431533
CNN-LSTM,0.99895508,0.00996341,0.00753177,0.81451173
BiLSTM,0.99881287,0.01061982,0.00821691,0.81669394
Gated-Residual-RNN,0.99785114,0.01428799,0.01173517,0.79623568
