Model,Train_Acc(R2),Test_Acc(R2),RMSE,MAE,MSE,Precision*
LSTM-GRU,0.99926989,0.99961804,0.00602387,0.00402524,3.6287e-05,0.89007092
GRU,0.99923851,0.99960165,0.00615179,0.00427452,3.78446e-05,0.88734315
Gated-Residual-RNN,0.99890581,0.9994027,0.00753294,0.00527593,5.67451e-05,0.87070376
BiLSTM-GRU,0.99900465,0.99934395,0.00789471,0.0056802,6.23265e-05,0.85897436
BiLSTM,0.99900292,0.99933039,0.00797587,0.00588201,6.36146e-05,0.87124932
CNN-LSTM,0.99903724,0.99927523,0.00829786,0.00624775,6.88545e-05,0.83687943
LSTM,0.99876515,0.99916069,0.00892954,0.00694086,7.97367e-05,0.84042553
