Model,R2,RMSE,MAE,Precision*
GRU,0.99942504,0.00739067,0.00526254,0.84342608
LSTM,0.9991213,0.00913661,0.00675907,0.82460447
LSTM-GRU,0.99911621,0.00916308,0.00675321,0.82133115
BiLSTM-GRU,0.99909266,0.00928432,0.00685534,0.83715221
CNN-LSTM,0.99871093,0.01106635,0.00841893,0.81096563
BiLSTM,0.99865356,0.01130993,0.00893238,0.81205674
Gated-Residual-RNN,0.99799032,0.01381751,0.01129571,0.79569013
