Model,Train_Acc(R2),Test_Acc(R2),RMSE,MAE,MSE,Precision*
LSTM-GRU,0.99926714,0.99953388,0.00665449,0.00515019,4.42822e-05,0.87943262
BiLSTM,0.99914484,0.99947476,0.00706393,0.00507017,4.98992e-05,0.83851609
BiLSTM-GRU,0.99911231,0.99946194,0.00714961,0.00545427,5.1117e-05,0.84806328
GRU,0.9991322,0.99946065,0.00715818,0.00537312,5.12395e-05,0.87424986
Gated-Residual-RNN,0.99916018,0.9994271,0.00737747,0.00536544,5.4427e-05,0.87124932
CNN-LSTM,0.99896612,0.99930767,0.00811007,0.00598828,6.57732e-05,0.85160938
LSTM,0.99876671,0.99897477,0.00986909,0.00762692,9.7399e-05,0.86279324
