Model,R2,RMSE,MAE,Precision*
GRU,0.9994032,0.00752975,0.00518093,0.85570104
LSTM-GRU,0.99913622,0.00905877,0.00628526,0.83633388
BiLSTM,0.99910931,0.00919879,0.00675375,0.83006001
LSTM,0.99910803,0.00920542,0.0067412,0.832515
BiLSTM-GRU,0.99905525,0.00947384,0.00703756,0.82651391
CNN-LSTM,0.99889633,0.01023967,0.00780186,0.82133115
Gated-Residual-RNN,0.99728393,0.0160634,0.01269092,0.80278232
