Model,Train_Acc(R2),Test_Acc(R2),RMSE,MAE,MSE,Precision*
BiLSTM-GRU,0.99919176,0.99955665,0.00648996,0.00457587,4.21196e-05,0.87424986
GRU,0.99928588,0.99954697,0.00656038,0.00438816,4.30385e-05,0.89143481
LSTM,0.99913005,0.99951335,0.00679946,0.00484621,4.62327e-05,0.85270049
LSTM-GRU,0.99901208,0.99944421,0.00726643,0.00536976,5.2801e-05,0.8619749
BiLSTM,0.99894684,0.99940884,0.00749407,0.00548312,5.61611e-05,0.8537916
Gated-Residual-RNN,0.99924524,0.99940106,0.00754327,0.0053758,5.6901e-05,0.86688489
CNN-LSTM,0.99858051,0.99906707,0.00941436,0.00748765,8.86302e-05,0.83769776
