Model,R2,RMSE,MAE,Precision*
LSTM-GRU,0.99951308,0.00680133,0.00455063,0.86142935
GRU,0.99921302,0.00864669,0.00621009,0.85270049
BiLSTM,0.99916472,0.00890805,0.00643883,0.83797054
LSTM,0.99914819,0.0089958,0.00663405,0.82569558
CNN-LSTM,0.99905559,0.00947214,0.0069302,0.83360611
BiLSTM-GRU,0.99899996,0.00974711,0.00740739,0.8218767
Gated-Residual-RNN,0.99729048,0.01604403,0.01277621,0.79787234
