Model,R2,RMSE,MAE,Precision*
LSTM-GRU,0.99950548,0.00685425,0.00464335,0.87152209
GRU,0.99936413,0.00777233,0.00523953,0.84642662
BiLSTM,0.99919998,0.00871802,0.00638342,0.84506274
LSTM,0.9991237,0.00912419,0.00660666,0.832515
BiLSTM-GRU,0.99889469,0.01024729,0.00784896,0.81123841
CNN-LSTM,0.99867036,0.01123919,0.00852101,0.8207856
Gated-Residual-RNN,0.99755754,0.01523283,0.01270809,0.75368249
