Model,R2,RMSE,MAE,Precision*
LSTM-GRU,0.99946956,0.00709877,0.00490371,0.85842881
GRU,0.9994444,0.00726519,0.00490944,0.86224768
CNN-LSTM,0.99922218,0.00859619,0.00624175,0.83196945
LSTM,0.99911703,0.00915882,0.00678166,0.82951446
BiLSTM,0.99909026,0.00929662,0.00697939,0.82869613
BiLSTM-GRU,0.99903605,0.0095696,0.0070956,0.82105837
Gated-Residual-RNN,0.99769531,0.01479695,0.01203627,0.78505183
