Model,R2,RMSE,MAE,Precision*
LSTM-GRU,0.99946829,0.00710728,0.00479452,0.85351882
GRU,0.9993787,0.00768276,0.00545942,0.84888161
BiLSTM,0.99919954,0.00872042,0.00628952,0.83551555
BiLSTM-GRU,0.99911217,0.00918396,0.00669701,0.83742499
CNN-LSTM,0.99891269,0.01016348,0.00737909,0.8243317
LSTM,0.99884693,0.0104663,0.0082371,0.80632842
Gated-Residual-RNN,0.99763494,0.01498948,0.01214421,0.80196399
