Model,R2,RMSE,MAE,Precision*
GRU,0.99934959,0.00786069,0.0055185,0.83115112
LSTM-GRU,0.99931582,0.00806213,0.00565304,0.84397163
LSTM,0.99914232,0.00902669,0.00669894,0.82842335
BiLSTM-GRU,0.99904647,0.00951774,0.00722461,0.8218767
BiLSTM,0.99880983,0.01063337,0.00840332,0.81069285
CNN-LSTM,0.99869864,0.01111896,0.00824384,0.82351337
Gated-Residual-RNN,0.99774853,0.01462511,0.01193184,0.7913257
