Model,Train_Acc(R2),Test_Acc(R2),RMSE,MAE,MSE,Precision*
GRU,0.99931714,0.99961694,0.0060325,0.00395687,3.6391e-05,0.84860884
Gated-Residual-RNN,0.99931578,0.99945674,0.00718405,0.00498252,5.16105e-05,0.85979269
BiLSTM-GRU,0.99917471,0.99944702,0.00724803,0.00506264,5.25339e-05,0.83769776
LSTM-GRU,0.99911397,0.99944582,0.00725591,0.00550382,5.26482e-05,0.85951991
LSTM,0.99888839,0.99923546,0.00852251,0.00648361,7.26332e-05,0.85188216
BiLSTM,0.9988587,0.99921623,0.008629,0.0066678,7.44596e-05,0.84833606
CNN-LSTM,0.99882435,0.99883743,0.01050934,0.00813306,0.0001104463,0.83524277
