Model,R2,RMSE,MAE,Precision*
LSTM-GRU,0.99947423,0.00706746,0.0045834,0.85651937
GRU,0.99922806,0.00856364,0.00625682,0.84833606
BiLSTM,0.99917921,0.00883044,0.0066121,0.83878887
BiLSTM-GRU,0.9990262,0.0096184,0.00731034,0.82733224
CNN-LSTM,0.99884177,0.01048976,0.00792003,0.82487725
LSTM,0.99874478,0.0109201,0.00854019,0.80851064
Gated-Residual-RNN,0.99777832,0.01452807,0.01179339,0.79187125
