Model,Train_Acc(R2),Test_Acc(R2),RMSE,MAE,MSE,Precision*
GRU,0.99928276,0.99959588,0.00619612,0.00408762,3.83919e-05,0.87806874
LSTM-GRU,0.99932249,0.99958389,0.00628737,0.00396298,3.95311e-05,0.8903437
Gated-Residual-RNN,0.99926988,0.99949824,0.00690426,0.00479479,4.76688e-05,0.85460993
BiLSTM-GRU,0.99915594,0.99933094,0.00797258,0.00616022,6.3562e-05,0.84697218
BiLSTM,0.99907725,0.99932761,0.00799239,0.00611348,6.38783e-05,0.82324059
LSTM,0.99878796,0.99916035,0.00893135,0.00706127,7.97691e-05,0.85570104
CNN-LSTM,0.99889814,0.99900452,0.00972487,0.00767824,9.4573e-05,0.83169667
